Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.4852066,95.13990784,94.13043213,96.50997162,94.48763275,98.23445892,96.72930145,101.7217636,101.1501999,98.58776093,98.25034332,95.68151093,,,101.004303,105.1985626,,,,,,,,
Africa Eastern and Southern,AFE,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,43.63211823,44.33948135,44.97232819,45.97970963,46.87540817,47.66149902,48.98674011,50.26103973,52.61658859,53.22962189,54.70594025,55.68217087,56.23094177,59.30561829,55.73725128,55.31843948,53.94979858,52.41991043,50.79549026,51.85955048,52.6319809,51.50999832,52.7285881,51.33856964,51.65744019,51.82131958,51.15293884,49.7822113,49.60715103,49.3680687,51.45148849,53.10398865,54.65937042,55.88108826,58.5067482,60.78623962,62.62314987,65.84638214,69.5091095,69.25724792,68.21990967,67.88053894,67.58444214,67.4794693,67.18225098,67.48742676,68.50602722,69.82826233,70.44226074,71.44698334,72.30503082,
Afghanistan,AFG,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,17.98686981,,,18.96799088,20.6745491,,27.66419983,35.88290024,,,21.75962067,20.99748039,,,,,,,,34.17082977,,,,,,,,,,,,,,,,,,,,,,,82.91046143,87.25332642,88.73551941,86.17552185,,,
Africa Western and Central,AFW,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,53.10023117,53.06835175,52.68793106,52.78295898,52.5173111,53.48284149,54.07038879,54.70898056,55.98104858,56.01475906,56.43878937,57.13360977,57.38832092,57.56758881,57.57056046,57.4297905,57.84746933,57.97431183,57.85932922,57.44676971,57.75252914,57.91379166,58.01845169,58.16949081,58.15592957,57.90776062,58.66675186,58.79216003,59.08644104,59.49309921,60.11116028,60.83124924,61.0542984,61.20087814,61.9129982,63.71752167,67.32749176,64.25009155,61.1361618,63.81958008,64.7975235,66.09835815,66.90057373,67.33841705,67.76592255,68.6627121,69.23027802,68.63536835,68.59729004,68.48999023,68.66004944,69.18141174,68.24912262
Angola,AGO,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,,,,,,,46.2301712,41.26602173,,,,,,,,,30.96945,,,,,,,,,,,,,,,,,41.17541122,40.9657402,42.28590012,49.09434128,,,,,,,,,,,
Albania,ALB,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.53278351,,,,99.16690826,100.9913101,,100.4881821,98.9352417,,,106.8818893,104.5801773,105.8362427,103.2699814,108.3344803,115.4982529,99.67449951,112.1794968,107.2767868,107.4077301,110.0476685,105.7085571,101.7207184,99.46858978,98.22325897,97.74899292
Andorra,AND,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.95321655,102.4390182,100.9628601,,,,,,,,,,66.27755737,66.09499359,68.49672699,65.81632996,66.70918274,64.22135925,62.70996857,62.06896973,
Arab World,ARB,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,50.44644165,50.29552078,49.83309174,50.85002136,51.54299927,54.46664047,56.09635162,58.08050919,57.33343887,53.26557159,56.37055969,59.62879181,60.10778046,61.05027008,63.07688904,66.82581329,65.91629028,65.57029724,66.40992737,66.82913208,68.29656219,68.45285797,69.23825836,69.44107819,70.17754364,71.12355042,72.15028381,72.87570953,73.92417145,74.9610672,74.90647888,76.01683807,76.67832184,78.19548798,79.76978302,80.86785889,79.16043091,80.87056732,82.63842773,81.05265045,81.96716309,82.16841888,82.93295288,80.37138367,80.27233887,80.0090332,79.7842865,79.74495697,80.6385498,81.09887695,82.21494293,82.48487091,82.31971741
United Arab Emirates,ARE,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,36.43922043,41.8893013,52.35342026,58.602211,61.25331879,64.74237061,65.99298096,69.26058197,81.10973358,82.81867981,81.37445068,78.1142807,78.74329376,74.72199249,70.70359802,76.38954163,84.12049866,90.88185883,91.05056763,89.47586823,90.10401917,90.13184357,86.26799774,82.83248138,82.7075119,88.80805206,94.96092987,98.86210632,98.8396225,,,,,,,,,,91.53191376,99.68549347,112.2813797,125.1652985,,,,118.8720093,105.3207169,,
Argentina,ARG,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,69.95262909,72.05554199,,,76.3412323,78.45020294,77.92980957,,,,,,,,,,,,,,,,,,97.76952362,,92.6410675,92.36338806,101.2532883,99.48899078,99.72418213,99.186409,101.8354187,99.50263977,97.783638,94.82763672,95.84699249,98.63778687,102.3866272,103.0468521,103.4086304,103.4096298,103.7547989,103.3749313,105.392601,106.0531311,106.5444489,101.58181,100.2818069,100.3828964,103.8377914,105.4795303,
Armenia,ARM,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.9096832,,,90.62258148,,,,,83.74337769,86.77423096,100.005928,93.46631622,92.02571106,96.74627686,98.6576767,,91.54000092,93.47415924,93.56420135,,94.60370636,94.22637939,105.0094223,102.7634277,100.2370682,97.22709656,101.9867477,100.6318436,92.14736938
American Samoa,ASM,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,73.78795624,75.56880188,,,,,,,,,,,,,,,,88.4520874,,,,,,,,,,,,,,,,109.4440689,103.8173065,119.3406601,119.0799408,,114.0978851,119.1376724,100.3881989,102.6877441,107.8087616,104.4444427,104.9766693,,,
Australia,AUS,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,93.76383209,96.22535706,96.15100861,,,,,,,,,,,,,,,,,,,,,,,,,99.59085846,99.17276001,,,99.50106812,,100.9621277,,,,,,,100.6218338,96.49848175,98.86142731,97.33966064,99.39652252,97.15097046,98.64917755,97.75398254,99.45897675,97.61239624,99.81651306,
Azerbaijan,AZE,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.51351166,95.1685791,97.58601379,92.69615173,95.59542847,93.43061829,91.6054306,98.13037109,90.73683167,91.77172089,89.51445007,92.80683136,91.99118805,88.08940887,98.12570953,103.2802124,111.3019104,107.1721725,100.2199478,100.3833389,98.53372955,96.56355286,99.70327759
Burundi,BDI,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,5.75165987,,10.95860958,11.12312984,11.65550995,10.93202019,11.02328968,10.66001034,10.69466972,10.75576973,10.85647964,12.69474983,17.08761024,23.0694809,23.87029076,25.92192078,25.63404083,35.50656128,30.79037094,38.58877182,42.89717865,45.53065109,49.22052002,,,,,,,25.13644981,25.93176079,26.35803032,30.94634056,33.35280991,35.81554031,,49.24266052,42.90869141,49.54792023,54.75466919,59.59209061,64.55486298,71.30126953,69.08946991,62.09434128,64.03182983,63.27708817,57.22309113,53.33037949,49.19591904,49.04724121,47.14854813
Belgium,BEL,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,69.41291046,69.90241241,69.55384064,72.5061264,75.49719238,69.58566284,70.01963043,74.87468719,75.92845154,70.00184631,74.56350708,74.79421997,75.20715332,75.51844025,75.29328918,,,76.90135956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,17.18361092,19.94761086,20.13396072,19.14036942,23.4766407,23.34151077,22.83687973,25.07180023,26.50082016,28.38088989,29.4123497,31.73398018,34.34206009,28.1471405,32.11962128,29.38376045,28.39402008,26.24861908,26.0814991,18.29627991,20.65681076,20.64723015,22.55316925,24.41390038,28.96776962,30.98274994,33.32577133,35.95756149,,36.32073975,40.33372116,42.29719925,46.53480911,50.45555878,,,,61.8585701,,65.31459808,70.1288681,71.61086273,76.89819336,77.31134796,78.03270721,77.41918945,,,61.79283142,60.2596817,70.79102325,64.57333374
