Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.011919975,0.992659986,0.999490023,0.989000022,0.97706002,0.952910006,0.963389993,0.967980027,0.98676002,1.005609989,1.00443995,1.014600039,1.008710027,1.021559954,,,,,,,,,,
Africa Eastern and Southern,AFE,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,,,,,,,,,,,0.758109987,0.759419978,0.765359998,0.770550013,0.78125,0.784210026,0.782580018,0.789420009,0.797399998,0.801649988,0.811909974,0.821569979,0.826870024,0.830320001,0.836009979,0.831470013,0.836849988,0.853290021,0.847940028,0.860490024,0.870360017,0.874729991,0.878069997,0.882049978,0.879079998,0.869859993,0.867079973,0.866699994,0.865159988,0.877820015,0.875769973,0.876429975,0.874459982,0.877120018,0.88023001,0.887009978,0.893890023,0.894240022,0.90158999,0.909640014,0.914219975,0.908349991,0.915709972,0.926739991,0.932219982,0.939180017,0.94453001,0.943430007,0.940410018,0.941209972,0.944029987,,
Afghanistan,AFG,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,,,,,,,,,,,0.167199999,0.161200002,0.160840005,0.168740004,0.166950002,0.173899993,0.180629998,0.192279994,0.198829994,,,0.242229998,0.483579993,,0.469949991,0.476029992,0.530939996,,0.499659985,,,0.537060022,,0.361770004,0.432000011,0.474040002,,,,,,0,,0.544260025,0.405820012,0.547689974,0.573230028,0.567200005,0.586019993,0.609610021,0.625810027,0.663450003,0.669250011,0.655330002,0.654020011,0.642329991,0.645669997,0.641690016,0.636020005,,,,
Africa Western and Central,AFW,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,,,,,,,,,,,0.596379995,0.611060023,0.625159979,0.63884002,0.64131999,0.640129983,0.64279002,0.670130014,0.691659987,0.694679976,0.697950006,0.70630002,0.707270026,0.680779994,0.667559981,0.705579996,0.737380028,0.745320022,0.719139993,0.755519986,0.732379973,0.743780017,0.75661999,0.754540026,0.762160003,0.771430016,0.781799972,0.782570004,0.780179977,0.780910015,0.785109997,0.79351002,0.783909976,0.796829998,0.804750025,0.815079987,0.824850023,0.834029973,0.844940007,0.855729997,0.866590023,0.878170013,0.905340016,0.909659982,0.913039982,0.916610003,0.909860015,0.923009992,0.935490012,0.934909999,,,
Angola,AGO,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,0.640190005,0.656719983,,,,,,,,,,0.826059997,0.787509978,,,,,,,,,,,,,,,0.819149971,,,,,,,,,,0.833090007,0.823400021,0.777629972,0.630320013,,,,,,,,,,,
Albania,ALB,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,0.922879994,,0.924769998,0.929279983,0.919539988,0.915809989,0.927450001,0.953499973,0.945689976,0.935949981,0.936429977,0.940090001,0.954760015,0.954240024,0.946529984,0.949710011,1.012799978,1.043849945,1.005259991,0.981710017,0.986419976,0.969780028,,0.968180001,0.976209998,0.987320006,,,0.980199993,0.97803998,0.985040009,0.996869981,0.999790013,1.017809987,1.005689979,1.000290036,0.990100026,0.981589973,0.976679981,0.982420027,0.993550003,1.004320025,1.01730001,1.018630028,1.023990035,1.025709987,
Andorra,AND,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,1.148929954,,,,,,,,1.025050044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,,,,,,,,,,,0.618920028,0.617470026,0.623520017,0.630850017,0.63805002,0.642700016,0.651499987,0.66237998,0.671169996,0.691779971,0.70332998,0.715489984,0.725549996,0.733430028,0.740559995,0.749610007,0.758300006,0.76770997,0.771229982,0.782559991,0.793070018,0.799600005,0.813440025,0.821080029,0.824169993,0.837750018,0.822809994,0.846029997,0.857179999,0.868420005,0.87729001,0.886300027,0.895259976,0.903349996,0.906939983,0.913670003,0.917309999,0.920419991,0.923160017,0.924130023,0.926810026,0.92651999,0.933889985,0.93581003,0.940289974,0.944939971,0.94253999,0.944450021,0.948260009,0.949790001,0.953429997,,
United Arab Emirates,ARE,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,0.828800023,0.926050007,0.933759987,0.943620026,1.013620019,1.048099995,1.029080033,0.991550028,0.948769987,0.966000021,0.958289981,0.947870016,0.947380006,0.963689983,1.004050016,1.025400043,1.03708005,1.040279984,1.036689997,1.036929965,1.035830021,1.019960046,1.005900025,,1.032699943,1.04685998,,,,,,,,,,,,,,,,,,0.960950017,0.948279977,,0.994229972,1.010470033,,
Argentina,ARG,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,,,,,,,,,,,1.033830047,1.024739981,1.011950016,1.013779998,1.00782001,1.010619998,1.012230039,1.018519998,1.031829953,1.020990014,1.024399996,1.022779942,1.009160042,,1.011940002,1.021049976,1.007009983,1.007760048,1.04745996,,,,,,,,1.019279957,1.02105999,1.008990049,1.022969961,1.015869975,1.01778996,1.018100023,1.022079945,1.02778995,1.032999992,1.040220022,1.046380043,1.050009966,1.047539949,1.035979986,1.040199995,1.034610033,1.03136003,1.031229973,1.028380036,1.020810008,1.019629955,1.021319985,1.020560026,1.024260044,,
